n_clients,strategy,level,mean_accuracy,std_accuracy,seeds,per_seed
5,fedavg,IID,0.9908,0.0047,3,"[0.9975, 0.9875, 0.9875]"
5,fedavg,alpha=1.0,0.9483,0.0297,3,"[0.9775, 0.96, 0.9075]"
5,fedavg,alpha=0.1,0.7892,0.0927,3,"[0.73, 0.92, 0.7175]"
5,fedprox,IID,0.9308,0.0072,3,"[0.94, 0.93, 0.9225]"
5,fedprox,alpha=1.0,0.8433,0.017,3,"[0.85, 0.86, 0.82]"
5,fedprox,alpha=0.1,0.6625,0.0714,3,"[0.725, 0.5625, 0.7]"
5,scaffold,IID,0.9908,0.0031,3,"[0.995, 0.9875, 0.99]"
5,scaffold,alpha=1.0,0.9808,0.0082,3,"[0.975, 0.9925, 0.975]"
5,scaffold,alpha=0.1,0.7683,0.09,3,"[0.74, 0.89, 0.675]"
5,fednova,IID,0.9908,0.0047,3,"[0.9975, 0.9875, 0.9875]"
5,fednova,alpha=1.0,0.955,0.0329,3,"[0.9875, 0.9675, 0.91]"
5,fednova,alpha=0.1,0.755,0.073,3,"[0.85, 0.7425, 0.6725]"
10,fedavg,IID,0.8608,0.0066,3,"[0.8575, 0.87, 0.855]"
10,fedavg,alpha=1.0,0.8425,0.0265,3,"[0.805, 0.8625, 0.86]"
10,fedavg,alpha=0.1,0.7258,0.0452,3,"[0.7775, 0.7325, 0.6675]"
10,fedprox,IID,0.8425,0.002,3,"[0.845, 0.8425, 0.84]"
10,fedprox,alpha=1.0,0.7942,0.0472,3,"[0.7275, 0.83, 0.825]"
10,fedprox,alpha=0.1,0.7008,0.0201,3,"[0.7175, 0.7125, 0.6725]"
10,scaffold,IID,0.8633,0.0024,3,"[0.865, 0.865, 0.86]"
10,scaffold,alpha=1.0,0.8133,0.0479,3,"[0.7475, 0.86, 0.8325]"
10,scaffold,alpha=0.1,0.7633,0.0484,3,"[0.7, 0.7725, 0.8175]"
10,fednova,IID,0.8608,0.0066,3,"[0.8575, 0.87, 0.855]"
10,fednova,alpha=1.0,0.8108,0.0608,3,"[0.725, 0.8575, 0.85]"
10,fednova,alpha=0.1,0.7425,0.0348,3,"[0.7075, 0.73, 0.79]"
20,fedavg,IID,0.8125,0.0154,3,"[0.83, 0.815, 0.7925]"
20,fedavg,alpha=1.0,0.8167,0.0249,3,"[0.85, 0.81, 0.79]"
20,fedavg,alpha=0.1,0.6408,0.031,3,"[0.675, 0.6475, 0.6]"
20,fedprox,IID,0.7875,0.0201,3,"[0.815, 0.78, 0.7675]"
20,fedprox,alpha=1.0,0.795,0.0227,3,"[0.82, 0.8, 0.765]"
20,fedprox,alpha=0.1,0.6492,0.0339,3,"[0.6875, 0.655, 0.605]"
20,scaffold,IID,0.7992,0.0185,3,"[0.825, 0.79, 0.7825]"
20,scaffold,alpha=1.0,0.81,0.0114,3,"[0.8125, 0.8225, 0.795]"
20,scaffold,alpha=0.1,0.6767,0.0378,3,"[0.63, 0.6775, 0.7225]"
20,fednova,IID,0.8125,0.0154,3,"[0.83, 0.815, 0.7925]"
20,fednova,alpha=1.0,0.8058,0.0176,3,"[0.825, 0.81, 0.7825]"
20,fednova,alpha=0.1,0.6517,0.0399,3,"[0.7025, 0.605, 0.6475]"
